Timestamp(s),BestCost
0.0015,29996088.301230
0.0039,16425489.574118
0.0039,13749443.351337
0.0039,11249999.384385
0.0040,10370738.311444
0.0040,9388540.896524
0.0040,8907121.955080
0.0040,6253503.302193
0.0065,5779722.671658
0.0065,5769486.741604
0.0065,5688113.453048
0.0065,4964104.658021
0.0089,4706612.633957
0.0090,4627286.822941
0.0090,4280820.249251
0.0114,4223241.449412
0.0139,4065682.645294
0.0139,4031818.572353
0.0163,3984004.856738
0.0187,3983023.274813
0.0212,3966664.822834
0.0236,3939854.015775
0.0260,3927295.955882
0.0285,3927191.045722
0.0285,3922272.783209
0.0309,3917026.722674
0.0333,3878481.122353
0.0357,3878138.698824
0.0382,3793563.720321
0.0406,3792495.783850
0.0455,3790929.356043
0.0504,3790540.007059
0.0504,3743403.402941
0.0554,3740764.739840
0.0628,3733606.113850
0.0653,3727055.909893
0.0703,3726708.496524
0.0727,3712526.339305
0.0904,3711396.492139
0.0955,3710021.282620
0.1087,3688805.618235
0.1114,3688517.728824
0.1218,3686698.502941
0.1323,3685847.820267
0.1401,3685656.192460
0.1427,3683744.105401
0.1428,3680265.154813
0.1480,3676684.014706
0.1533,3670333.129572
0.1584,3664487.068342
0.1610,3659552.097540
0.1636,3657628.755829
0.1662,3655447.106631
0.1817,3655153.763209
0.2100,3654580.451979
0.2180,3652417.025241
0.2284,3651518.292620
0.2336,3650963.195989
0.2668,3650896.490107
0.4964,3649956.170749
0.5065,3649666.397701
0.5164,3639652.464973
0.5189,3635997.267112
0.5737,3635224.167647
0.6186,3635131.183690
0.6361,3635030.368717
0.6438,3634196.155882
0.6942,3633360.172460
0.7242,3630683.525561
0.8069,3628792.808717
0.8121,3626033.137701
0.8272,3625879.032888
1.0035,3625804.934332
1.0061,3625179.422567
1.0112,3623552.811230
1.1077,3622829.226471
1.1102,3619308.340642
1.1153,3612376.955989
1.1203,3609621.038021
1.1229,3609117.038021
1.1329,3608849.095989
1.1379,3607876.610695
1.1429,3606876.211123
1.1480,3605206.981016
1.1505,3599035.555294
1.1531,3596001.277647
1.1581,3559014.060000
1.1709,3558510.252406
1.1734,3557240.045882
2.1007,3556339.864599
3.9545,3550384.745989
3.9622,3549511.505348
3.9723,3548455.023797
3.9797,3547630.104866
3.9822,3547573.215455
3.9922,3547123.274920
3.9996,3545135.517487
4.0097,3544310.598556
4.0149,3542657.637273
4.0350,3542349.298877
4.0474,3541547.330963
4.1479,3541541.208396
4.8665,3538889.602406
4.8690,3538735.558984
4.8716,3538591.625882
4.8994,3538067.089679
5.2677,3537699.502086
6.5430,3536927.977059
6.5473,3536863.741765
21.8095,3532376.157433
21.8146,3532118.817219
38.7991,3531209.092353
41.6125,3525684.201604
41.6975,3523011.911176
48.1881,3522527.692353
48.9077,3522220.297647
48.9102,3518688.951123
48.9251,3514649.193476
48.9276,3513677.665348
48.9350,3512673.618289
48.9500,3510256.668396
48.9625,3509883.273048
48.9999,3509830.783904
49.1591,3509216.181283
49.2143,3509054.537433
49.2689,3509054.050802
49.7968,3508698.051765
178.8392,3505335.076203
178.8417,3504510.919412
178.8939,3504482.784652
179.3657,3503734.783369
179.3682,3503646.740588
179.4293,3503091.620000
179.4391,3502403.240749
179.4440,3502254.107059
180.3105,3502010.866043
180.3155,3501369.404011
305.0522,3499773.092941
305.0547,3498659.870588
346.7185,3490246.912353
346.7236,3488022.345294
346.7362,3487553.855882
661.2758,3485207.009305
661.2785,3481953.554545
661.3238,3478773.179412
661.3290,3478495.773529
661.3367,3476994.874706
777.8915,3476544.283209
874.8962,3476167.857647
876.1465,3475233.469572
876.1963,3475049.092941
876.2860,3475014.830000
876.2961,3474630.954118
876.3588,3473749.724118
876.3613,3472941.178824
876.3639,3472916.767914
876.5033,3472795.082834
877.3806,3472793.380000
877.7195,3472663.965348
979.5040,3472106.890000
979.5142,3470409.068824
979.5167,3470383.749786
1507.4334,3470301.923529
1507.4457,3469554.757754
1612.5473,3469188.722888
1612.5525,3468747.392353
1612.7046,3468512.245882
1612.7073,3468080.641604
2513.6039,3467987.305775
2513.6184,3467868.009679
2514.0477,3467590.944439
2514.1182,3467196.572674
3249.2681,3466246.152353
3360.4025,3462037.841444
3360.4498,3461282.861123
3360.4624,3461128.157380
3360.4900,3460932.397326
3360.5102,3459838.751390
3360.5152,3459601.694706
4325.5552,3459567.135294
5919.6828,3455335.712032
5919.7274,3454855.470107
5919.7323,3454598.358235
