Timestamp(s),BestCost
0.0058,38121374.697112
0.0059,36297570.581176
0.0059,34200237.758235
0.0061,32487813.511551
0.0061,31060776.035882
0.0064,30200403.664118
0.0064,19774033.028235
0.0068,19603194.347059
0.0070,19139029.255294
0.0073,14894202.628342
0.0082,14887497.646524
0.0092,14880681.282353
0.0110,14871624.671123
0.0123,14714260.598396
0.0127,13597357.555615
0.0127,12776191.254011
0.0134,12363917.281283
0.0138,11233381.966845
0.0143,11106067.504599
0.0145,10386940.619251
0.0150,10332256.725561
0.0152,10190987.663743
0.0154,10156986.568984
0.0156,10065725.735508
0.0161,9451739.692781
0.0165,9334593.280802
0.0165,9084458.418449
0.0168,8959829.591925
0.0172,8912448.862620
0.0174,8564269.280749
0.0181,8179241.767380
0.0185,7934316.929037
0.0196,7755738.480000
0.0201,7739218.245294
0.0205,7700270.523048
0.0207,7407620.294118
0.0210,7102093.113369
0.0214,7033909.871658
0.0218,6817467.314225
0.0223,6253553.589144
0.0225,6186380.199626
0.0228,6015774.236631
0.0252,6002666.443529
0.0254,5556430.676738
0.0263,5514358.670321
0.0265,5504805.486578
0.0285,5355695.054706
0.0303,5341212.878235
0.0305,5280741.187647
0.0309,4984153.477059
0.0318,4971142.898235
0.0336,4969845.542941
0.0353,4968303.673904
0.0366,4966005.359037
0.0384,4955102.719412
0.0384,4914071.042888
0.0388,4905172.475187
0.0393,4878127.195829
0.0446,4877906.192353
0.0448,4873091.079893
0.0452,4623305.691979
0.0503,4621781.241337
0.0505,4579369.928824
0.0528,4555723.953529
0.0530,4535670.748824
0.0552,4535113.977059
0.0563,4531512.057059
0.0581,4459271.859412
0.0617,4372335.366524
0.0654,4371835.559037
0.0693,4369007.933369
0.0750,4317544.777861
0.0770,4310886.954332
0.0775,4309406.074011
0.0793,4238136.737433
0.0807,4237878.626096
0.0809,4211141.615134
0.0852,4208464.356952
0.0923,4208202.622834
0.0956,4186231.857968
0.0961,4172633.409412
0.1020,4169091.298984
0.1029,4160464.597807
0.1060,4157180.172353
0.1065,4155243.517166
0.1080,4134572.873529
0.1097,4094948.684011
0.1126,4073508.263850
0.1156,4071160.690695
0.1170,4071051.928663
0.1180,4065999.183422
0.1200,4038916.544278
0.1210,4034675.042139
0.1266,4024643.728075
0.1293,4021191.883209
0.1400,4016568.755668
0.1415,4015667.754973
0.1427,4015393.923957
0.1447,4007130.061979
0.1530,4005209.015294
0.1547,4003994.846952
0.1579,4003907.244385
0.1615,4000032.684118
0.1635,3998108.194706
0.1647,3995508.575882
0.1666,3992095.243743
0.1686,3991007.010642
0.1708,3990850.178824
0.1723,3990802.891765
0.1810,3966354.226471
0.1847,3957418.523583
0.1874,3944435.437166
0.1915,3944140.490856
0.1998,3938411.037647
0.2096,3938011.971765
0.2113,3934839.700909
0.2120,3859742.071818
0.2220,3857250.159037
0.2247,3856912.936845
0.2296,3856892.899626
0.2340,3856334.037594
0.2442,3833378.632139
0.2821,3823333.595829
0.3162,3822179.408877
0.3323,3812555.522888
0.3445,3807329.070588
0.3644,3805985.818503
0.3749,3802197.732941
0.3841,3798189.428877
0.4348,3797169.117112
0.4652,3796850.108021
0.5277,3789166.508235
0.5308,3787665.084225
0.5345,3782564.406952
0.6411,3776853.526203
0.6421,3776532.821390
0.6575,3776371.494225
0.6663,3768301.537861
0.6678,3765319.734011
0.6753,3763639.175134
0.6762,3755114.593476
0.7227,3753968.566203
0.7523,3749040.244652
0.8399,3748856.784759
0.9903,3719293.450053
1.0001,3713261.440000
1.0051,3713255.244813
1.0349,3713187.954973
1.1344,3712608.248289
1.1432,3711559.988930
1.1444,3710601.609198
1.2887,3705733.071765
1.3685,3678403.428824
1.3932,3678203.126631
1.3941,3676478.300428
1.4091,3676003.925027
1.4552,3673230.247647
1.4571,3670207.071176
1.4674,3668276.151123
1.4713,3668170.762941
1.8694,3666427.021765
1.8851,3665840.738075
1.9748,3664474.697433
1.9847,3664383.240749
2.0282,3664086.605080
2.3415,3663954.698128
6.7844,3663355.556524
6.7931,3662579.424973
6.8174,3662346.860642
6.8667,3662300.656898
7.6920,3662264.417861
10.1584,3661555.503155
10.2183,3658766.632781
10.2333,3658328.274064
11.4288,3658268.824225
11.4356,3658257.252888
30.1060,3646608.926471
30.1360,3643191.022995
30.1470,3643151.403743
30.1604,3642023.011604
30.1716,3641545.169893
30.1963,3636771.499305
30.3358,3636734.084492
30.3378,3636707.866310
30.3594,3635972.240053
30.3744,3635949.572781
30.3944,3632420.383904
30.4261,3631730.222460
30.4357,3631679.207433
30.5084,3626708.472995
30.5585,3626681.464973
30.5842,3626582.920321
30.7620,3626485.534225
30.8930,3626465.533690
31.0616,3624481.160963
31.0779,3622321.184064
31.0863,3621847.043743
31.0873,3611834.953476
31.1041,3605652.825989
31.1051,3600894.850000
31.1072,3595977.292353
31.1124,3592079.297059
31.1418,3591349.188824
31.1730,3591313.019412
31.1808,3589970.501765
31.1963,3589229.671176
31.2461,3588987.306471
31.2809,3587418.384118
31.7268,3587354.791176
32.1065,3585908.557112
32.2409,3582518.391979
32.2515,3574697.361230
32.2551,3572182.427807
32.3815,3566897.043369
32.3844,3565241.445294
32.4017,3562921.262353
32.7473,3562538.683529
36.6804,3562514.471765
41.6031,3562503.337647
42.0315,3561585.332941
42.5930,3561089.851979
42.6326,3560809.925348
44.3024,3560545.626310
