Timestamp(s),BestCost
0.0013,1663839313.943530
0.0014,1336742943.843294
0.0015,1324922977.080941
0.0016,1207179920.804235
0.0017,1205516868.143059
0.0018,1091503748.709177
0.0019,1079128930.488000
0.0019,1044890907.234353
0.0020,1022973310.392000
0.0022,1004203241.876235
0.0023,987195853.863059
0.0023,984213934.575529
0.0024,982080601.103529
0.0025,978634735.503529
0.0025,911113794.750588
0.0027,910579771.885647
0.0028,900799361.781176
0.0028,882624703.642824
0.0030,854908492.973647
0.0031,820743690.155765
0.0032,792555655.919529
0.0033,771738544.109647
0.0034,764040087.443294
0.0034,752594067.167059
0.0034,716376558.267765
0.0035,556938880.400000
0.0039,540740060.928941
0.0040,533043205.862588
0.0040,510838798.492235
0.0042,494109275.693177
0.0043,484403853.610353
0.0044,381362074.817412
0.0047,368138355.841412
0.0047,367369698.987294
0.0051,343828621.963294
0.0051,319656573.073882
0.0052,308205932.181647
0.0052,279933739.557176
0.0055,239027622.202353
0.0056,211350091.347294
0.0058,207959176.975529
0.0062,205441574.039059
0.0065,200790033.047059
0.0066,198575224.380706
0.0069,193242124.232000
0.0071,192366642.104941
0.0073,192359684.058824
0.0075,188014364.680000
0.0084,182126377.623059
0.0086,181474084.311059
0.0088,176636030.624941
0.0090,174645058.009882
0.0090,170486243.496471
0.0091,168111264.021176
0.0094,167876019.420706
0.0095,163433402.127059
0.0096,162622714.912000
0.0098,161591778.626353
0.0099,157937194.869176
0.0100,157592259.446588
0.0101,156874098.630118
0.0103,156674800.001412
0.0104,156655384.616941
0.0104,152931038.600941
0.0104,148415202.125647
0.0105,148345281.632471
0.0107,147753048.941647
0.0108,147083525.143059
0.0108,146993304.531294
0.0110,139325155.756235
0.0112,139033070.385412
0.0114,139013283.582588
0.0115,138960883.078118
0.0116,137677012.406118
0.0118,134862410.716706
0.0119,133837204.407059
0.0121,133819930.569882
0.0124,133531166.522824
0.0130,132617863.884706
0.0132,132579659.137412
0.0133,130480912.302588
0.0139,126751869.590118
0.0140,126224230.043765
0.0141,126049224.390118
0.0145,124868967.996706
0.0146,121801109.092235
0.0147,120764296.006118
0.0156,118454021.364235
0.0156,118084203.426824
0.0157,117349649.407529
0.0160,116728301.634353
0.0161,113057245.617882
0.0164,111519004.588706
0.0164,110400347.534588
0.0166,110385679.864000
0.0170,110317228.377412
0.0179,109668372.671059
0.0195,109650086.266824
0.0206,109271607.570353
0.0222,108909807.456941
0.0230,107810119.615059
0.0233,107761147.018353
0.0241,107610605.815529
0.0253,107401582.553412
0.0291,107381357.546353
0.0292,107349535.586824
0.0298,107260492.763294
0.0301,105883816.482824
0.0302,105708622.286118
0.0306,105673443.439059
0.0307,105459018.151529
0.0320,105295700.897882
0.0322,105293529.679059
0.0329,103528169.669176
0.0350,103251478.728941
0.0353,101770151.566588
0.0359,101509121.864000
0.0367,101361163.592000
0.0368,101116460.125177
0.0369,100508951.895059
0.0370,100372993.403294
0.0371,99537403.306824
0.0372,99528975.975059
0.0435,99301151.810824
0.0442,99229588.909647
0.0457,99166604.866824
0.0484,98780913.092235
0.0514,98605497.115765
0.0516,98423704.603294
0.0519,98093415.214118
0.0521,97877846.574118
0.0522,97242934.458353
0.0522,97058025.752471
0.0532,96957193.427294
0.0537,96923559.827294
0.0556,96179264.307765
